VIN,Machines,Date,Time,Production Date,Measurement Type,Measurement,High Spec,Low Spec,Styles,Problem,Description,Result,Status,Model,Model Year,I_PRODCT_TAG,Vacuum Decay,Vacuum,Leak Chk,Stabilize,Stroke 2,Stroke 1,Pick-Up
1C6RREBG5LN276516,S1    ,2/6/2020,10:29 PM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42636704,0.04,15.54,0.014,0.02,4.372,3.057,0.858
1C6RREBG5LN288780,S1    ,2/6/2020,7:00 PM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42635490,0.05,15.67,0.013,0.021,4.523,3.115,0.954
1C6RREBG6LN267369,S1    ,2/6/2020,9:59 AM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,JS,DT1H41,2020,42610964,0.04,15.69,0.013,0.02,4.548,3.198,0.871
1C6RREBG6LN278355,S1    ,2/7/2020,10:54 AM,2/7/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42645440,0.07,15.27,0.019,0.093,4.491,2.809,0.822
1C6RREBG6LN289260,S1    ,2/8/2020,5:43 PM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,26687426,0.04,15.76,0.018,0.041,4.607,3.141,0.868
1C6RREBG6LN294975,S1    ,2/6/2020,8:26 PM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42634790,0.06,15.59,0.014,0.02,4.565,3.147,0.984
1C6RREBG7LN278400,S1    ,2/8/2020,8:19 AM,2/8/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42622233,0.04,15.79,0.016,0.047,4.498,2.901,0.97
1C6RREBG8LN267373,S1    ,2/6/2020,10:31 AM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,JS,DT1H41,2020,42609511,0.05,15.6,0.012,0.022,4.417,2.992,0.725
1C6RREBG9LN278401,S1    ,2/4/2020,4:58 PM,2/4/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42587691,0.05,15.74,0.013,0.021,4.248,2.786,0.823
1C6RREBGXLN295465,S1    ,2/6/2020,6:46 PM,2/6/2020,Overall Problem,0,0,0,1,BRS1MPBO01,       -> MPBO PEDAL PUSH TEST                       @RED   ,P,KZ,DT1H41,2020,42637850,0.05,15.56,0.012,0.021,4.518,3.08,0.858
